unit,normalized_unit,factor
"kilotons CO2e (gross emissions, including Scope 1,",kt CO2e,1000.0
kilotons CO₂e (adjusted for portfolio changes),kt CO2e,1000.0
kt (sum of categories provided),kt CO2e,1000.0
ktCO2e (sum of all Scope 3 categories listed),kt CO2e,1000.0
ktons CO₂e (Scope 1 & 2 combined),kt CO2e,1000.0
metric ktons CO2e,kt CO2e,1000.0
metric tonnes of CO2eq (Other indirect emissions),t CO2e,1.0
"metric tonnes of CO₂e (net corporate emissions, pr",t CO2e,1.0
metric tons (t) CO2-e,t CO2e,1.0
metric tons CO2eq (sum of individual Scope 3 sourc,t CO2e,1.0
metric tons CO₂e (target for Scope 1 and 2 combine,t CO2e,1.0
metric tons CO₂e (target),t CO2e,1.0
metric tons of CO₂e,t CO2e,1.0
million metric tonnes CO2e (market-based),Mt CO2e,1000000.0
million metric tons of CO2 eq.,Mt CO2e,1000000.0
million t CO2,Mt CO2e,1000000.0
million t CO2e (Category 3),Mt CO2e,1000000.0
million tCO2eq,Mt CO2e,1000000.0
million tCO₂e (restated baseline),Mt CO2e,1000000.0
million tonnes CO2 (MT),Mt CO2e,1000000.0
million tonnes CO2e (equity),Mt CO2e,1000000.0
million tonnes CO2e (operational),Mt CO2e,1000000.0
million tons CO2e (combined with Scope 1),Mt CO2e,1000000.0
million tons of CO2 equivalent,Mt CO2e,1000000.0
t CO2 (remaining emissions),t CO2e,1.0
t CO2-eq emitted,t CO2e,1.0
t CO2e (total Scope 3 emissions),t CO2e,1.0
tCO2e (Baseline),t CO2e,1.0
tCO₂e (Baseline),t CO2e,1.0
thousand metric tons,kt CO2e,1000.0
tonne CO2e,t CO2e,1.0
tonnes CO2-equivalent (baseline),t CO2e,1.0
tonnes CO2-equivalent (interim target),t CO2e,1.0
tonnes CO2e**,t CO2e,1.0
tons CO2e*,t CO2e,1.0
tons of CO2 equivalent (tCO2e),t CO2e,1.0
metric tonnes of CO2 equivalent,t CO2e,1.0
